


--------------------------------------------------
Text-Audio Synchronization Engine (TASE) Benchmark
--------------------------------------------------



Benchmarking:

Audio: ../benchmarks/samples/timemachinewells_01_ae_64kb.mp3
Text: ../benchmarks/samples/35-0.txt


Audio to Text Benchmark (negative distance means prediction before actual):
Using Optimal Values of: clip_size = 25, match_percent = 0.8, clip_movement = 3

audio_timestamp,returned_word_position,confidence,sync_time
1084654,2873,0.8333333333333334,4.352842330932617
163787,361,0.8333333333333334,4.10306978225708
429246,1043,0.9,4.3600544929504395
567535,-1,1,4.1885082721710205
865515,2232,0.8620689655172413,4.116640090942383
431074,1048,0.9310344827586207,4.2367775440216064
689136,1767,0.8636363636363636,4.118436098098755
582042,1482,0.8148148148148148,4.239471673965454
754312,1930,0.88,4.104414701461792
1078064,2848,0.8333333333333334,4.166905641555786
34218,39,0.8636363636363636,4.390167236328125
716369,1832,0.8260869565217391,4.102112054824829
713378,1822,0.8076923076923077,4.184285879135132
335984,-1,1,4.211184024810791
940645,2426,0.8709677419354839,4.223567962646484
862928,2217,0.8275862068965517,4.090908050537109
667680,1717,0.8695652173913043,4.113002061843872
904510,2333,0.8148148148148148,4.128307342529297
170961,378,0.8181818181818182,4.099768877029419
188755,423,0.8148148148148148,4.1276960372924805
318796,762,0.8064516129032258,4.215955972671509
625574,-1,1,4.168351888656616
968952,2518,0.8620689655172413,4.138220310211182
214316,486,0.8387096774193549,4.190993070602417
1120037,2959,0.8181818181818182,4.110014200210571
99932,210,0.8,4.342223405838013
805506,2058,0.8125,4.1082305908203125
329324,790,0.8571428571428571,4.157777309417725
1108432,2933,0.8260869565217391,4.059908628463745
1041798,2730,0.8181818181818182,4.213281869888306
511314,1281,0.8125,4.185302495956421
332737,797,0.8,4.146788120269775
1141649,3019,0.8518518518518519,4.156893730163574
192713,435,0.8181818181818182,4.090843439102173
1005341,2627,0.8571428571428571,4.223686933517456
1118520,2955,0.8181818181818182,4.113668441772461
540942,1370,0.8888888888888888,4.088836431503296
598976,1536,0.88,4.1218955516815186
796752,2036,0.8214285714285714,4.081754446029663
1016232,2657,0.8518518518518519,4.172758340835571
460209,-1,1,4.289362907409668
243283,568,0.84,4.145705699920654
435044,1057,0.9,4.2315144538879395
1074143,2838,0.875,4.299296855926514
936939,2411,0.8620689655172413,4.24883770942688
277428,644,0.8571428571428571,4.187777757644653
1045352,2745,0.8484848484848485,4.1897358894348145
39412,53,0.8518518518518519,4.21297287940979
903093,2329,0.8076923076923077,4.0426459312438965
123459,-1,1,4.1327269077301025
555121,-1,1,4.226535797119141
1076204,2840,0.8387096774193549,4.227764368057251
224893,518,0.8275862068965517,4.154778003692627
1085388,2872,0.8148148148148148,4.084752559661865
98511,205,0.84375,4.2280285358428955
96454,204,0.8064516129032258,4.127858638763428
246979,573,0.8695652173913043,4.126623153686523
1122946,2966,0.8461538461538461,4.157544851303101
434647,1057,0.8620689655172413,4.1751885414123535
927676,2385,0.8064516129032258,4.1480889320373535
271049,635,0.8571428571428571,4.1312031745910645
1161059,-1,1,4.000054597854614
914593,2358,0.8571428571428571,4.177043914794922
762220,1953,0.8695652173913043,4.106440544128418
435496,1056,0.84375,4.2201855182647705
398624,964,0.8076923076923077,4.078306198120117
689288,1765,0.8181818181818182,4.132655620574951
1006749,2633,0.8571428571428571,4.13273024559021
895261,2307,0.8148148148148148,4.121406555175781
874511,2258,0.85,4.098398208618164
720513,1843,0.8695652173913043,4.1899590492248535
